iter	Passed	Remaining
0	1	1918
1	3	1827
2	5	1868
3	7	1807
4	8	1753
5	10	1701
6	11	1677
7	13	1658
8	15	1656
9	16	1643
10	18	1633
11	20	1647
12	21	1638
13	22	1618
14	24	1606
15	26	1599
16	27	1592
17	29	1590
18	30	1589
19	32	1614
20	34	1615
21	36	1630
22	38	1628
23	39	1626
24	41	1624
25	43	1616
26	44	1613
27	46	1607
28	47	1597
29	49	1607
30	51	1613
31	53	1607
32	54	1606
33	56	1606
34	57	1598
35	59	1599
36	61	1595
37	62	1591
38	64	1591
39	66	1598
40	68	1592
41	69	1585
42	70	1579
43	72	1574
44	74	1576
45	75	1574
46	77	1569
47	79	1569
48	81	1573
49	82	1569
50	84	1563
51	85	1558
52	86	1554
53	88	1548
54	90	1552
55	91	1547
56	93	1544
57	95	1542
58	96	1541
59	98	1536
60	99	1530
61	100	1524
62	102	1518
63	103	1512
64	105	1511
65	106	1509
66	108	1506
67	109	1502
68	111	1504
69	112	1500
70	114	1496
71	115	1492
72	117	1488
73	118	1484
74	120	1481
75	121	1480
76	123	1478
77	124	1476
78	126	1479
79	128	1478
80	130	1475
81	131	1474
82	133	1470
83	134	1467
84	136	1467
85	137	1463
86	139	1461
87	140	1459
88	142	1461
89	144	1457
90	145	1454
91	146	1450
92	148	1446
93	149	1442
94	151	1442
95	152	1439
96	154	1437
97	156	1436
98	157	1437
99	159	1434
100	160	1431
101	162	1428
102	163	1425
103	165	1422
104	166	1420
105	168	1417
106	169	1415
107	171	1415
108	173	1414
109	174	1412
110	175	1408
111	177	1405
112	178	1402
113	180	1399
114	181	1396
115	183	1395
116	184	1392
117	185	1390
118	187	1390
119	189	1389
120	190	1386
121	192	1384
122	193	1381
123	195	1380
124	197	1380
125	198	1379
126	200	1377
127	202	1376
128	203	1377
129	205	1373
130	206	1371
131	207	1367
132	209	1365
133	210	1362
134	212	1360
135	213	1358
136	215	1356
137	217	1356
138	218	1356
139	220	1354
140	222	1352
141	222	1345
142	224	1342
143	225	1340
144	227	1341
145	229	1342
146	231	1340
147	232	1339
148	234	1339
149	236	1338
150	237	1338
151	239	1337
152	241	1336
153	243	1339
154	245	1338
155	246	1333
156	248	1332
157	249	1330
158	251	1329
159	253	1328
160	254	1328
161	256	1326
162	258	1329
163	260	1327
164	262	1327
165	264	1328
166	266	1329
167	268	1327
168	268	1322
169	270	1320
170	271	1317
171	273	1318
172	275	1316
173	277	1315
174	278	1313
175	280	1311
176	281	1310
177	282	1306
178	283	1300
179	285	1300
180	287	1299
181	288	1295
182	289	1291
183	290	1288
184	292	1287
185	293	1285
186	294	1281
187	295	1277
188	296	1274
189	298	1272
190	300	1273
191	302	1271
192	304	1274
193	306	1273
194	308	1272
195	309	1270
196	311	1269
197	314	1272
198	316	1275
199	320	1282
200	321	1278
201	322	1273
202	324	1272
203	324	1267
204	325	1262
205	327	1261
206	328	1258
207	329	1254
208	331	1253
209	334	1256
210	335	1252
211	336	1250
212	337	1246
213	339	1246
214	340	1243
215	341	1239
216	342	1235
217	343	1231
218	344	1230
219	345	1226
220	346	1222
221	348	1222
222	349	1218
223	350	1214
224	351	1211
225	352	1207
226	354	1207
227	357	1209
228	358	1205
229	359	1201
230	359	1197
231	360	1193
232	362	1193
233	364	1194
234	366	1194
235	368	1193
236	370	1193
237	371	1189
238	372	1187
239	374	1186
240	376	1185
241	379	1187
242	380	1184
243	381	1181
244	382	1177
245	383	1175
246	386	1176
247	388	1177
248	388	1172
249	390	1172
250	391	1168
251	392	1165
252	394	1163
253	396	1164
254	398	1163
255	399	1159
256	401	1160
257	403	1161
258	405	1159
259	407	1159
260	410	1160
261	411	1159
262	413	1158
263	415	1157
264	417	1156
265	419	1156
266	420	1155
267	422	1153
268	425	1155
269	426	1154
270	428	1152
271	429	1150
272	431	1149
273	433	1149
274	435	1147
275	436	1145
276	438	1144
277	440	1143
278	441	1142
279	443	1140
280	445	1139
281	447	1138
282	449	1138
283	451	1137
284	452	1135
285	454	1135
286	456	1133
287	457	1131
288	459	1130
289	461	1130
290	463	1130
291	465	1129
292	467	1127
293	469	1127
294	471	1126
295	472	1123
296	473	1121
297	475	1119
298	477	1118
299	479	1118
300	480	1115
301	481	1113
302	482	1110
303	485	1111
304	487	1109
305	488	1107
306	490	1107
307	493	1108
308	494	1106
309	496	1105
310	498	1103
311	500	1104
312	502	1103
313	503	1101
314	505	1099
315	507	1098
316	509	1097
317	510	1095
318	511	1092
319	513	1090
320	515	1091
321	517	1089
322	519	1089
323	521	1088
324	523	1087
325	525	1085
326	526	1084
327	528	1082
328	530	1081
329	532	1080
330	533	1079
331	536	1078
332	538	1078
333	540	1076
334	541	1074
335	543	1073
336	544	1072
337	547	1072
338	549	1071
339	551	1069
340	553	1069
341	555	1068
342	556	1066
343	558	1064
344	560	1064
345	562	1063
346	564	1062
347	566	1061
348	568	1060
349	570	1059
350	572	1057
351	573	1056
352	576	1056
353	578	1055
354	580	1054
355	582	1054
356	584	1053
357	586	1051
358	587	1049
359	589	1047
360	591	1047
361	593	1046
362	595	1044
363	597	1044
364	599	1043
365	601	1041
366	602	1039
367	604	1038
368	606	1037
369	608	1036
370	610	1034
371	612	1033
372	613	1032
373	615	1030
374	617	1028
375	618	1026
376	620	1024
377	622	1024
378	624	1023
379	625	1021
380	627	1020
381	629	1019
382	631	1017
383	633	1015
384	634	1013
385	636	1012
386	638	1011
387	640	1009
388	641	1007
389	643	1006
390	645	1005
391	647	1003
392	649	1002
393	650	1000
394	652	999
395	654	997
396	655	996
397	657	994
398	659	993
399	661	991
400	662	990
401	664	988
402	665	986
403	668	986
404	670	984
405	671	983
406	673	981
407	676	980
408	677	979
409	679	977
410	680	975
411	682	973
412	684	973
413	686	971
414	689	972
415	692	972
416	694	971
417	696	969
418	699	969
419	701	968
420	703	966
421	705	966
422	707	965
423	709	963
424	711	962
425	713	961
426	715	960
427	717	959
428	719	957
429	721	956
430	723	955
431	725	953
432	726	951
433	728	950
434	731	949
435	732	947
436	734	946
437	736	945
438	738	944
439	740	942
440	742	940
441	745	940
442	746	938
443	748	937
444	750	935
445	752	934
446	753	932
447	755	930
448	757	929
449	758	927
450	761	926
451	762	924
452	764	923
453	766	921
454	768	920
455	769	918
456	771	916
457	772	914
458	774	913
459	776	911
460	778	909
461	780	908
462	782	907
463	783	905
464	785	903
465	786	901
466	788	899
467	790	898
468	792	897
469	793	895
470	795	893
471	797	892
472	799	890
473	801	889
474	802	887
475	803	885
476	806	884
477	808	882
478	809	880
479	811	878
480	813	877
481	814	875
482	816	873
483	817	871
484	819	869
485	821	868
486	823	867
487	824	865
488	826	863
489	828	862
490	830	860
491	832	859
492	833	857
493	835	855
494	838	855
495	839	853
496	841	851
497	843	850
498	845	849
499	847	847
500	848	845
501	850	843
502	852	842
503	854	841
504	856	839
505	857	837
506	859	835
507	861	834
508	862	832
509	864	830
510	865	828
511	867	827
512	869	825
513	871	824
514	873	822
515	875	820
516	876	819
517	878	817
518	879	815
519	881	813
520	883	812
521	885	810
522	886	808
523	888	807
524	890	805
525	891	803
526	893	801
527	895	800
528	896	798
529	898	796
530	899	794
531	901	792
532	902	790
533	904	789
534	905	786
535	906	784
536	908	782
537	909	781
538	911	779
539	913	777
540	915	776
541	917	775
542	919	773
543	920	771
544	922	770
545	923	768
546	925	766
547	927	764
548	929	763
549	931	761
550	932	760
551	934	758
552	935	756
553	937	754
554	938	752
555	940	750
556	941	748
557	943	747
558	944	745
559	946	743
560	948	741
561	950	740
562	951	738
563	953	736
564	954	734
565	956	733
566	957	731
567	959	729
568	961	728
569	963	726
570	965	725
571	966	723
572	968	721
573	969	719
574	970	717
575	972	715
576	973	713
577	975	712
578	977	710
579	978	708
580	980	706
581	981	704
582	983	703
583	984	701
584	986	699
585	987	697
586	989	696
587	990	694
588	992	692
589	993	690
590	995	688
591	995	686
592	997	684
593	999	682
594	1000	681
595	1001	679
596	1003	677
597	1006	676
598	1006	674
599	1008	672
600	1009	670
601	1011	668
602	1012	666
603	1014	664
604	1015	663
605	1016	661
606	1018	659
607	1021	658
608	1022	656
609	1023	654
610	1025	653
611	1026	650
612	1028	649
613	1029	647
614	1030	645
615	1031	643
616	1032	640
617	1034	639
618	1035	637
619	1037	635
620	1038	633
621	1040	632
622	1041	630
623	1042	628
624	1044	626
625	1045	624
626	1046	622
627	1048	620
628	1049	619
629	1051	617
630	1053	615
631	1054	614
632	1055	612
633	1057	610
634	1058	608
635	1059	606
636	1061	604
637	1062	602
638	1063	601
639	1065	599
640	1067	597
641	1069	596
642	1070	594
643	1072	592
644	1073	590
645	1074	589
646	1076	587
647	1077	585
648	1079	583
649	1080	581
650	1082	580
651	1083	578
652	1085	576
653	1086	574
654	1087	573
655	1089	571
656	1090	569
657	1091	567
658	1093	565
659	1094	564
660	1096	562
661	1098	560
662	1099	559
663	1101	557
664	1102	555
